X,Y,Arsenic_kit,Arsenic_lab
258967.1,2631760,100,192.99
258690.8,2631501,100,116.81
258452,2631038,100,135.89
258458.1,2630997,100,90.02
258233.6,2630779,100,56.93
258119,2630633,100,32.72
257627.1,2630593,100,87.29
256729.3,2629560,100,42.71
256707.2,2629259,100,33.88
259024.3,2633968,100,41.14
259005.5,2634065,100,91.82
259005.9,2634089,100,32.33
259027,2634129,100,54.4
258924.8,2633811,100,39.01
258936.4,2633892,100,36.03
257279.7,2632378,100,98.93
257256.9,2632343,100,29.07
254787,2631308,100,54.25
254777.4,2631138,100,71.34
254359.6,2630957,100,45.63
254781.9,2630601,100,119.51
254895.3,2630673,100,85.38
254796.8,2630778,100,61.06
255064,2630297,100,136.46
255178.5,2630337,100,88.13
255368.6,2630316,100,86.47
255498,2630232,100,76.68
258816.7,2633135,100,39.09
258877.1,2633090,100,144.58
259189,2633040,100,25.52971304
255816.2,2632567,100,84.84114042
256057,2631728,100,30.65119321
255709.2,2631664,100,121.6145922
253826.6,2630499,100,63.15980554
256010.6,2630486,100,66.55272598
258102.2,2630039,100,70.84642374
258402.4,2630409,100,70.80111867
259159.1,2634817,100,37.76263463
259183.3,2634942,100,102.7438502
259201.6,2634924,100,90.32121626
259310.5,2635035,100,84.21501483
258569.4,2630332,100,54.39070989
259550.5,2633114,100,45.07661637
259735.4,2633094,100,54.95845814
259813.2,2633074,100,43.50835411
259861,2632985,100,41.58887811
260140.3,2632917,100,59.28500296
260058,2633286,100,46.22422821
259629.8,2633491,100,48.57148913
259956.3,2633711,100,32.3551581
259993.3,2633790,100,47.35908656
260573.8,2633235,100,61.06588177
260785.8,2633213,100,79.79847875
260826.7,2633419,100,39.24981692
260717.9,2633528,100,64.36637118
260543.3,2633651,100,53.37529843
261467.6,2633130,100,75.78516026
261513.3,2632913,100,77.00686527
261345.5,2633457,100,61.53928896
261837.6,2633824,100,36.49539795
260625.2,2632440,100,63.93517425
260619.2,2632283,100,52.42743437
260593,2632236,100,56.04017221
260939.4,2632324,100,78.97747021
260503.2,2633999,100,150.2327011
262461.8,2630270,200,38.93243641
260095.4,2633374,200,47.26830033
262395.7,2630229,200,56.04247028
262419.6,2630287,200,56.11134456
262509.1,2630249,200,56.51353772
256643.2,2632973,200,58.23411018
257167.5,2633287,200,59.23263654
258623.3,2633644,200,60.32854164
261460.6,2627074,200,61.57152907
262377.8,2630693,200,62.19266969
262603.6,2633245,200,63.52382738
262528.2,2630660,200,64.13719001
259966.4,2628191,200,65.24046484
262551,2630169,200,68.45103064
256818.3,2635074,200,70.89187814
262330.7,2630240,200,71.8637718
261328,2629859,200,72.35155246
262299.6,2630833,200,74.07012574
260056.3,2633323,200,75.66895256
260394.7,2632161,200,75.89257655
259920.2,2628110,200,82.20567123
262616.8,2633344,200,83.21443114
260267.4,2628786,200,84.32726879
259510.5,2634943,200,87.08414165
260904.5,2632993,200,88.22631477
