Well_ID,Wp_ID.x,lat,lon,As_Result,Depth.2000,X2000,Y2000,Depth_2000,Installation_2000,As_GFAA_2000,As_MS_2000,As2014,As2015,As2015
2164,151E,23.75591,90.61468,300,60,256862.1,2629271,60,1996,118,118.96,104.847,107.1,107.1
2178,172E,23.75684,90.61378,50,60,256768.5,2629369,60,1988,43,40.49,6.478,15.3,15.3
2179,171E,23.75708,90.61375,25,60,256778.5,2629356,60,1998,19,16.41,26.657,31.7,31.7
2198,198E,23.75918,90.61261,100,60,256729.3,2629560,60,1994,74,67.3,42.708,43.1,43.1
2205,214E,23.76033,90.61223,25,45,256640.4,2629735,45,1985,29,23.91,15.807,7.3,7.3
2229,029E,23.75601,90.61145,200,45,256543.8,2629247,45,1996,156,160.47,91.5,99.3,99.3
2237,144E,23.75602,90.6131,100,75,256707.2,2629259,75,1998,49,55.73,33.884,35.1,35.1
2270,053E,23.75677,90.60996,200,45,256414.6,2629345,45,1994,109,97.01,61.424,66,66
2285,046E,23.75619,90.61044,200,45,256459.4,2629280,45,1990,113,103.46,67.457,65.9,65.9
2303,1381K,23.79890095,90.63473588,100,45,259024.3,2633968,45,1996,42,41.11,41.138,50.5,50.5
2310,1401K,23.79975901,90.63462918,100,37,259005.5,2634065,37,1999,53,53.59,91.82,78.3,78.3
2312,1403K,23.79995096,90.6347477,100,45,259005.9,2634089,45,1992,70,73.02,32.329,NA,
2313,1405K,23.80030015,90.63491148,100,45,259027,2634129,45,1998,62,61.04,54.4,36.3,36.3
2320,1414K,23.80086827,90.63520174,300,45,259053.6,2634195,45,1998,93,92.03,107.991,114.4,114.4
2347,1360K,23.79740411,90.63394873,100,50,258924.8,2633811,50,1994,52,50.73,39.008,39.6,39.6
2353,1369K,23.79816343,90.63419105,50,45,258951.5,2633884,45,1994,34,33.93,31.858,29.9,29.9
2368,2827E,23.76163702,90.62581644,25,45,258031.5,2629878,45,1993,28,27.35,18.413,NA,
2369,2829E,23.76172227,90.62629865,50,45,258077.3,2629875,45,1998,48,44.3,29.912,38.3,38.3
2383,2794E,23.76058493,90.62669059,0,45,258102.4,2629743,45,1998,5,3.81,0.557,1.4,1.4
2390,2779E,23.76077997,90.62688514,25,45,258141.7,2629757,45,1996,21,20.85,13.298,14.2,14.2
2574,3153L,23.78698524,90.62151225,500,45,257647.8,2632645,45,1999,285,289.66,439.69,237.4,237.4
2617,3104L,23.78767516,90.62723961,200,60,258193.7,2632769,60,1997,231,227.45,95.052,32.4,32.4
2754,2075L,23.78430915,90.61808028,100,42,257279.7,2632378,42,1997,91,90.71,98.926,69.6,69.6
2756,2076L,23.7841675,90.61821054,100,60,257256.9,2632343,60,2000,37,42.09,29.073,31,31
2763,2069L,23.78547122,90.61916457,200,45,257371.1,2632461,45,1994,100,136.68,137.769,139.5,139.5
2771,2061L,23.78567431,90.62069711,200,45,257495,2632551,45,2000,148,166.48,164.225,166.9,166.9
3146,917H,23.79780133,90.6074869,200,60,256232.8,2633893,60,1995,55,61.81,43.538,32,32
3148,913H,23.79759547,90.60746226,300,70,256230.7,2633864,70,1984,97,102.79,91.2,99,99
3237,645H,23.78899463,90.61003433,0,30,256426.9,2632904,30,2000,5,0.68,1.083,0.6,0.6
3292,576H,23.78869,90.61168,0,30,256588.9,2632938,30,1987,5,1.12,1.424,1.3,1.3
3303,547H,23.78884,90.6125,0,30,256710.7,2632908,30,1990,5,1.06,0.461,0.6,0.6
3500,2235L,23.78149124,90.61042735,300,45,256516.6,2632075,45,1970,269,350.95,283.26,262.4,262.4
3547,3278E,23.77834333,90.59873569,200,60,255266,2631791,60,1994,167,185.75,143.946,132.4,132.4
3607,2265E,23.77461892,90.59318905,500,50,254705.9,2631337,50,1994,332,389.35,422.073,434,434
3610,2261E,23.77437986,90.5933846,500,60,254820.3,2631261,60,1996,297,307,334.509,298,298
3613,2259E,23.77401643,90.59375189,100,65,254787,2631308,65,1985,129,163.11,54.246,62.1,62.1
3624,2242E,23.7739057,90.59432019,500,60,254830.9,2631285,60,1997,474,420.73,368.901,363.1,363.1
3633,2120E,23.77292,90.59239,500,75,254647.1,2631177,75,1996,334,305.41,309.923,320.3,320.3
3646,2155E,23.77327002,90.5913079,300,70,254486,2631195,70,1991,195,204.91,420.613,NA,
3652,2092E,23.77306,90.5909,200,45,254447.7,2631240,45,1998,198,188.72,269.633,NA,
3661,2136E,23.7729303,90.59335073,100,45,254777.4,2631138,45,1998,121,112.16,71.336,72.9,72.9
3666,2132E,23.77274657,90.59318997,200,55,254705.9,2631130,55,1990,195,226.95,150.253,127.4,127.4
3680,2030E,23.77126,90.59138,200,60,254576.2,2631001,60,1998,348,343.25,202.484,NA,
3700,2059E,23.77122,90.58978,100,45,254359.6,2630957,45,1997,87,89.44,45.626,NA,
3724,952E,23.76791415,90.59403663,300,75,254784.6,2630658,75,1997,130,130.21,128.708,120.2,120.2
3726,962E,23.76768717,90.59406529,100,75,254781.9,2630601,75,1999,105,110.74,119.512,105.5,105.5
3735,944E,23.76875896,90.59471891,100,45,254895.3,2630673,45,1997,81,79.41,85.377,87.2,87.2
3743,935E,23.7691286,90.59468228,100,60,254796.8,2630778,60,1992,124,104.49,61.058,67,67
3757,885E,23.76553327,90.59779088,100,60,255178.5,2630337,60,1997,86,87.58,88.134,87.5,87.5
3765,877E,23.76601607,90.59732527,200,60,255130.1,2630388,60,1997,136,126.69,144.16,113.5,113.5
3766,875E,23.76580216,90.5972453,200,60,255129.7,2630360,60,1995,114,105.7,85.806,84.4,84.4
3783,835E,23.76563855,90.59885019,50,60,255292.8,2630356,60,1993,41,38.39,43.99,NA,
3785,826E,23.76511526,90.59892956,50,60,255308.8,2630298,60,1993,38,34.33,53.827,92.6,92.6
3790,816E,23.76539203,90.59964814,100,65,255368.6,2630316,65,1998,57,59.15,86.465,87.5,87.5
3793,818E,23.76551868,90.5995525,50,65,255361.9,2630327,65,1997,43,41.97,87.096,61.7,61.7
3804,782E,23.76407,90.60203,50,45,255604.3,2630186,45,1995,32,30.05,21.256,20.7,20.7
3832,2890L,23.79117024,90.63302237,100,45,258816.7,2633135,45,1992,64,54.37,39.095,44.4,44.4
3835,2888L,23.79108483,90.63331582,50,45,258900.3,2633058,45,1994,33,26.42,22.557,15.1,15.1
3836,2884L,23.79097528,90.63347482,100,45,258877.1,2633090,45,1988,99,79.18,144.576,116.5,116.5
3839,2892L,23.79051922,90.63318347,200,45,258837.5,2633055,45,2000,72,64.64,61.271,72.1,72.1
3846,2840L,23.79062408,90.6345586,300,45,258965.1,2633066,45,1990,142,163.49,216.655,206.8,206.8
3851,2852L,23.78980994,90.63382217,300,45,258897.2,2632967,45,1999,97,86.58,172.678,154.6,154.6
3852,2856L,23.78996677,90.63406751,300,45,258914.3,2632978,45,1997,242,220.51,186.698,225.9,225.9
3853,2863L,23.78951917,90.63403138,999,60,258916.9,2632928,60,1995,748,731.67,700.89,741.9,741.9
3880,2815L,23.79032836,90.63619358,300,60,259147.7,2633008,60,1992,233,233.76,249.672,268.4,268.4
3896,2808L,23.78983878,90.63607229,200,60,259121.4,2632960,60,1990,109,134.16,150.065,151.8,151.8
3923,245C,23.80094,90.62991,10,55,258526.7,2634193,55,2000,5,8.06,8.461,4.9,4.9
3933,617C,23.8021,90.63073,10,25,258602.5,2634352,25,1995,9,1.58,4.697,4,4
3935,601C,23.80292,90.63106,10,25,258605.8,2634444,25,1990,5,11.21,10.412,9.5,9.5
3938,619C,23.80219,90.63053,10,35,258588.8,2634343,35,1991,7,1.86,4.915,3.9,3.9
3942,222C,23.80314,90.6324,25,30,258789.1,2634436,30,1994,16,18.48,13.153,NA,
3943,220C,23.80322,90.63254,25,30,258801.1,2634445,30,1994,5,6.89,10.511,10.3,10.3
