X,Y,Depth_m,Arsenic_lab
259367.285,2634972.635,11,24
260150.9632,2633356.592,9,5
260164.6656,2633463.513,11,9.5
259856.5437,2633536.993,7,14
259799.7462,2633493.614,11,12
259759.0661,2633499.83,10,11
259777.4827,2633479.136,10,12
259878.9991,2633556.897,11,9
260812.0193,2633255.227,14,1.7
260858.1009,2633267.318,8,3.1
260847.5965,2633143.835,17,8
260823.4384,2633125.73,18,3.4
260893.0081,2633115.383,14,19
260914.7801,2633100.175,14,0.5
260914.9632,2633111.252,14,8
260864.2718,2633128.711,14,13.3
260816.0093,2633083.414,18,6.5
260761.088,2633054.738,9,10
260648.4083,2633226.465,14,2.1
260656.502,2633204.171,18,9
255716.8202,2633020.819,29,0.7
260803.4439,2633353.209,14,1.9
260526.8735,2633688.316,9,6.7
260440.0014,2633983.388,14,2.7
261473.6253,2633081.751,14,11
261478.9356,2633094.628,14,9.6
261487.0909,2633075.989,9,1.1
261502.441,2633079.393,14,7.2
261647.945,2633141.703,14,0.5
261650.6388,2633100.994,18,2.4
261440.2165,2633015.82,14,10.3
261458.5048,2632993.358,18,1.7
261308.3258,2632851.79,14,1.5
261301.2637,2632831.629,14,1.7
261299.1031,2632805.737,11,14
261483.5004,2632963.361,27,9
261688.7481,2633248.067,14,34
261475.4052,2632985.655,9,7.3
261530.1607,2632905.417,9,32
261530.9805,2632850.001,18,6
261392.2113,2632782.04,9,1.5
261388.8369,2632787.636,23,8.4
261528.1229,2632886.946,9,8.8
261634.1949,2633136.39,8,6
261899.2178,2633955.627,14,4.9
260489.9937,2632279.936,18,0.2
260595.1734,2632270.772,15,7
260601.8511,2632261.464,18,1
256536.9184,2633989.525,17,1.5
260685.4097,2632276.703,9,2.3
260677.1217,2632293.461,14,13
260709.6194,2632304.003,11,6
260881.1064,2632395.352,27,1.8
260833.5865,2632296.414,25,2
260847.5398,2632320.117,23,16.3
260580.2832,2634038.35,15,3.8
259125.98,2630993.192,14,8.1
258724.7619,2630268.556,23,0.1
259238.6789,2630411.473,21,16.8
259236.8321,2630398.54,14,22
258472.7268,2630040.065,27,17
258523.7045,2630039.215,18,2.2
258538.1662,2630086.953,14,7.9
258540.6073,2630031.51,18,5.5
258508.3814,2630135.539,14,2.8
260140.9589,2633982.806,9,0.4
260141.5414,2634017.921,9,0.1
260126.2525,2634018.175,14,0.1
260881.813,2632851.41,19,236
260827.0553,2632826.498,15,71
260886.8181,2632845.787,14,207
260813.1525,2632811.991,17,115
260905.1975,2632828.863,14,141
260766.0911,2632740.747,14,390
260768.5643,2632890.292,14,297
260878.8294,2632775.78,18,324
261038.164,2632749.103,19,328
260750.9529,2632750.194,21,195
260877.138,2632772.152,17,252
260687.7944,2632729.078,18,313
260800.9306,2632788.149,17,394
260735.7854,2632757.868,17,304
260777.3838,2632807.042,18,291
260791.3782,2632827.088,18,321
260806.3332,2632806.564,18,135
260795.5902,2632773.5,17,170
260807.8414,2632799.115,18,180
260757.6598,2632742.659,14,144
260655.5204,2632836.759,14,143
260681.1562,2632845.532,21,233
260700.0459,2632754.692,18,283
260698.7814,2632776.874,17,179
260664.0644,2632736.894,17,254
260679.7212,2632758.796,17,225
260703.6344,2632762.057,26,242
260725.5003,2632752.498,17,207
260693.2889,2632753.031,17,162
260680.9043,2632725.535,15,234
260710.2316,2632649.26,15,349
260663.5439,2632705.434,17,308
260676.9284,2632688.592,17,213
260658.7139,2632616.871,27,113
260666.4599,2632672.145,17,93
260643.0276,2632593.196,26,336
262205.0679,2632510.151,21,149
262225.5461,2632515.355,14,83
262229.1029,2632520.837,17,206
260560.6224,2632542.814,14,137
260596.8417,2632470.192,17,280
260569.6332,2632575.907,17,148
260599.512,2632532.974,17,192
260710.4459,2632662.22,17,274
260707.2048,2632669.698,18,249
260723.1969,2632711.871,12,395
260756.5606,2632676.194,21,275
260685.4806,2632693.991,17,291
260722.7993,2632687.833,17,83
260725.0111,2632722.922,17,367
260752.8086,2632757.587,17,290
260817.1795,2632747.215,12,78
260714.8962,2632826.469,20,340
260748.1775,2632890.629,12,267
260690.7871,2632909.972,20,252
260827.7879,2632870.808,18,248
260589.8424,2632872.86,20,447
260836.7979,2632903.9,14,152
260743.9269,2632837.07,17,180
261967.4728,2632732.009,12,30
262024.7722,2632707.022,23,46
261775.4885,2632738.826,17,101
260122.0073,2632428.195,18,57
260066.1948,2632346.017,18,33
256964.7992,2633162.351,14,13
255514.6176,2632320.602,10,8
255661.6048,2632371.75,18,455
255598.9412,2631680.257,9,32
255647.1113,2632316.591,9,89
255462.7428,2632267.958,9,100
255506.9637,2632169.367,17,355
255462.4782,2632149.73,17,452
255461.793,2632109.186,15,476
255461.5422,2632094.342,14,199
255462.8307,2632074.042,14,285
255377.1171,2631925.899,10,804
255327.7371,2632020.921,12,81
255916.686,2632683.248,26,25
256043.5671,2632745.709,14,285
256057.6535,2632776.83,14,218
256080.2544,2632708.191,14,423
256045.073,2632738.259,17,247
